n,site,askeladden_id,excavation_project,dating_method,reported_start_bc,reported_end_bc,excavated_m3,core,core_fragment ,blade,microblade,chip,fragment,flake,axe_debitage,axe,chisel,microlith,tanged_point,transverse_point,single_edged_point,hognipen_point,projectile_undefined,microburin,scraper,knife,burin,drill,blade_retouch,microblade_retouch,chip_retouch,fragment_retouch,flake_retouch,beach_flint_flint_nodule,axe_other,axe_debitage_other,chisel_other,club_hatchet_other,grinding_slab_stone,projectile_point_other,knife_other,hammerstone,flake_other,fragment_other,chip_other,blade_other,microblade_other,core_other,core_fragment_other,scraper_other,drill_other,microblade_retouch_other,blade_retouch_other,fragment_retouch_other,flake_retouch_other
1,Hovland 5,150578,bommestad_sky,c14,8200,8000,16.3,2,25,83,83,1503,1098,315,0,0,0,2,1,0,0,0,0,0,2,0,6,4,13,15,0,6,7,0,1,0,0,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2,Hovland 2,120470,bommestad_sky,shore_typo,8300,7900,36,12,75,94,44,1071,757,731,0,3,0,7,0,0,0,0,0,0,5,1,0,2,20,4,0,5,6,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Nordby 1,119409,bommestad_sky,shore_typo,7950,7550,21,0,0,0,0,7,13,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0
4,Nordby 2,119410,bommestad_sky,shore_typo,7900,7500,74,17,96,66,47,289,825,641,0,0,0,4,0,0,0,0,0,1,42,24,9,1,17,9,0,25,20,3,0,0,1,0,1,0,0,0,21,210,0,0,0,0,0,0,0,0,0,0,0
5,Hovland 4,119407,bommestad_sky,c14,7900,7500,37,9,51,153,128,1442,1423,883,0,0,0,12,0,0,0,0,0,0,10,3,7,5,29,16,0,42,10,4,3,0,0,0,13,0,0,3,4,2,0,0,0,0,0,0,0,0,0,1,1
6,Hovland 1,119401,bommestad_sky,c14,7700,7400,37.1,27,31,285,323,2124,4025,1956,0,0,0,9,0,0,0,0,0,0,8,7,1,14,40,38,1,9,1,11,2,0,0,1,3,0,0,2,2,6,1,0,0,0,0,0,0,0,0,0,0
7,Hovland 3,119408,bommestad_sky,c14,7650,7450,21.3,67,71,1233,734,5663,8216,4949,0,0,0,27,0,0,0,0,0,0,38,0,0,26,169,81,0,14,7,10,3,0,0,4,8,0,0,5,19,27,0,0,0,0,0,0,0,5,5,0,0
8,Torstvet,119404,bommestad_sky,c14,7500,7100,26,3,21,82,43,163,226,243,0,0,0,2,0,0,0,0,0,0,3,4,2,1,11,4,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Nedre Hobekk 2,115976,vestfoldbaneprosjektet,shore_typo,8800,8500,21.7,2,0,5,2,70,64,76,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,1,0,0,0,0,0,0,130,18,50,5,0,1,0,0,0,0,0,0,0
10,Solum 1,116021,vestfoldbaneprosjektet,shore_typo,8800,8400,17.05,1,0,24,0,68,55,108,0,1,0,1,0,0,0,0,0,0,1,2,0,0,2,0,1,4,6,0,2,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,1
11,Nedre Hobekk 1,115978,vestfoldbaneprosjektet,shore_typo,8500,8200,5.8,0,0,0,0,33,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0,0,0,0,0
12,Nedre Hobekk 3,115977,vestfoldbaneprosjektet,shore_typo,8200,8000,8.76,0,0,8,4,178,115,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sundsaasen 1,136590,vestfoldbaneprosjektet,shore_typo,7900,7700,26.5,12,0,38,88,1859,2894,1509,0,0,0,13,0,0,0,0,0,0,12,5,1,16,4,4,2,17,6,0,1,2,0,0,3,0,0,4,108,38,11,0,0,0,0,0,0,0,0,1,0
14,Gunnarsrød 7,136602,vestfoldbaneprosjektet,shore_typo,7800,7300,39.8,52,6,200,229,4589,4335,2726,0,0,0,4,0,0,0,0,0,0,21,6,0,21,26,25,1,29,13,5,2,5,2,0,4,0,0,4,68,6,12,3,2,0,0,0,0,0,0,0,0
15,Prestemoen 1,136598,vestfoldbaneprosjektet,c14,7700,7600,6.6,31,6,133,239,1745,2683,543,0,0,0,6,0,0,0,0,0,0,10,0,0,8,8,11,0,14,0,3,4,6,0,3,7,0,0,12,256,69,0,0,0,0,0,0,4,0,0,0,0
16,Gunnarsrød 8,136589,vestfoldbaneprosjektet,shore_typo,7300,7000,7.6,6,1,2,5,271,220,168,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,8,1,0,0,0,0,0,2,0,1,0,35,7,17,1,3,1,0,0,0,0,0,0,0
17,Langangen Vestgård 1,128960,vestfoldbaneprosjektet,c14,6800,6600,60.65,57,8,140,401,3569,4371,2497,0,0,0,0,0,0,0,0,0,0,17,0,1,53,10,12,19,109,28,11,23,19,9,0,46,0,29,2,1389,1796,806,10,45,13,1,0,0,0,0,0,1
18,Gunnarsrød 6a,128961,vestfoldbaneprosjektet,shore_typo,6300,6100,25.8,16,12,22,184,566,1217,339,0,0,0,0,0,0,0,0,0,0,10,2,0,21,1,0,0,8,4,8,11,4,1,0,8,0,15,5,252,786,104,0,9,4,0,1,0,2,0,0,0
19,Gunnarsrød 6b,128964,vestfoldbaneprosjektet,shore_typo,6500,6300,12.9,21,18,30,372,1473,2105,682,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,1,1,3,4,5,2,0,0,5,0,21,5,1053,1781,509,5,19,9,0,0,0,2,0,0,0
20,Gunnarsrød 10,52038,vestfoldbaneprosjektet,shore_typo,5800,5600,3.88,2,0,0,9,54,61,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,6,3,0,0,2,0,0,0,783,226,196,0,1,0,0,0,0,0,0,0,0
21,Vallermyrene 4,150614,vestfoldbaneprosjektet,c14,5500,5200,56.1,33,18,36,1201,5579,3743,3470,0,0,0,0,0,0,0,0,0,0,11,0,0,21,0,4,0,69,63,3,71,3,0,0,0,0,14,8,18083,7956,9153,0,16,4,0,0,0,0,0,8,0
22,Vallermyrene 1,136595,vestfoldbaneprosjektet,c14,4700,4100,14.7,17,6,49,73,474,658,838,0,0,0,0,1,5,0,0,0,0,32,12,0,1,3,0,0,14,7,0,1,12,0,0,7,0,1,5,90,4,3,1,0,0,0,0,0,0,0,0,0
23,Langangen Vestgård 3,136594,vestfoldbaneprosjektet,c14,4350,4000,31.5,19,2,12,80,957,1348,623,0,0,0,0,2,2,1,0,0,0,3,0,0,1,0,1,1,7,4,1,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
24,Gunnarsrød 3,128954,vestfoldbaneprosjektet,shore_typo,5000,4500,1.9,1,1,2,2,0,9,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
